game_id,white_rating,rolling_5,expanding_avg
193,1283,1283.0,1283.0
197,1305,1294.0,1294.0
201,1293,1293.6666666666667,1293.6666666666667
203,1288,1292.25,1292.25
204,1289,1291.6,1291.6
207,1289,1292.8,1291.1666666666667
209,1289,1289.6,1290.857142857143
210,1289,1288.8,1290.625
212,1289,1289.0,1290.4444444444443
214,1280,1287.2,1289.4
215,1280,1285.4,1288.5454545454545
217,1281,1283.8,1287.9166666666667
218,1288,1283.6,1287.923076923077
220,1274,1280.6,1286.9285714285713
221,1259,1276.4,1285.0666666666666
223,1221,1264.6,1281.0625
224,1222,1252.8,1277.5882352941176
226,1240,1243.2,1275.5
11408,1303,1249.0,1276.9473684210527
11409,1278,1252.8,1277.0
11411,1267,1262.0,1276.5238095238096
11414,1277,1273.0,1276.5454545454545
11417,1279,1280.8,1276.6521739130435
11418,1268,1273.8,1276.2916666666667
11420,1283,1274.8,1276.56
11424,1305,1282.4,1277.6538461538462
11428,1293,1285.6,1278.2222222222222
11430,1288,1287.4,1278.5714285714287
11431,1289,1291.6,1278.9310344827586
11434,1289,1292.8,1279.2666666666667
11436,1289,1289.6,1279.5806451612902
11437,1289,1288.8,1279.875
11439,1289,1289.0,1280.1515151515152
11441,1280,1287.2,1280.1470588235295
11442,1280,1285.4,1280.142857142857
11444,1281,1283.8,1280.1666666666667
13735,1303,1286.6,1280.7837837837837
13736,1278,1284.4,1280.7105263157894
13738,1267,1281.8,1280.3589743589744
13741,1277,1281.2,1280.275
13744,1279,1280.8,1280.2439024390244
13745,1268,1273.8,1279.952380952381
13747,1283,1274.8,1280.0232558139535
13751,1305,1282.4,1280.590909090909
13755,1293,1285.6,1280.8666666666666
13757,1288,1287.4,1281.0217391304348
13758,1289,1291.6,1281.1914893617022
13761,1289,1292.8,1281.3541666666667
13763,1289,1289.6,1281.5102040816328
13764,1289,1288.8,1281.66
13766,1289,1289.0,1281.8039215686274
13768,1280,1287.2,1281.7692307692307
13769,1280,1285.4,1281.7358490566037
13771,1281,1283.8,1281.7222222222222
19056,1303,1286.6,1282.1090909090908
19057,1278,1284.4,1282.0357142857142
19059,1267,1281.8,1281.7719298245613
19062,1277,1281.2,1281.6896551724137
19065,1279,1280.8,1281.6440677966102
19066,1268,1273.8,1281.4166666666667
19068,1283,1274.8,1281.4426229508197
19072,1305,1282.4,1281.8225806451612
19076,1293,1285.6,1282.0
19078,1288,1287.4,1282.09375
19079,1289,1291.6,1282.2
19082,1289,1292.8,1282.3030303030303
19084,1289,1289.6,1282.402985074627
19085,1289,1288.8,1282.5
19087,1289,1289.0,1282.5942028985507
19089,1280,1287.2,1282.557142857143
19090,1280,1285.4,1282.5211267605634
19092,1281,1283.8,1282.5
