game_id,white_rating,rolling_10_white
1,1500,1500.0
2,1322,1411.0
3,1496,1439.3333333333333
4,1439,1439.25
5,1523,1456.0
6,1250,1421.6666666666667
7,1520,1435.7142857142858
8,1413,1432.875
9,1439,1433.5555555555557
10,1381,1428.3
11,1381,1416.4
12,1381,1422.3
13,1381,1410.8
14,1381,1405.0
15,1094,1362.1
16,1141,1351.2
17,1094,1308.6
18,1141,1281.4
19,1094,1246.9
20,1500,1258.8
21,1094,1230.1
22,1094,1201.4
23,1500,1213.3
24,1307,1205.9
25,1113,1207.8
26,1078,1201.5
27,1825,1274.6
28,1328,1293.3
29,1056,1289.5
30,1077,1247.2
31,1358,1273.6
32,1200,1284.2
33,1203,1254.5
34,1019,1225.7
35,1422,1256.6
36,976,1246.4
37,1569,1220.8
38,978,1185.8
39,1500,1230.2
40,2449,1367.4
41,1207,1352.3
42,1241,1356.4
43,1500,1386.1
44,2443,1528.5
45,1500,1536.3
46,1500,1588.7
47,978,1529.6
48,1343,1566.1
49,2436,1659.7
50,2436,1658.4
51,978,1635.5
52,1500,1661.4
53,978,1609.2
54,1500,1514.9
55,1521,1517.0
56,1407,1507.7
57,1492,1559.1
58,1414,1566.2
59,1457,1468.3
60,1525,1377.2
61,1207,1400.1
62,1567,1406.8
63,1578,1466.8
64,1939,1510.7
65,1618,1520.4
66,1755,1555.2
67,1561,1562.1
68,1500,1570.7
69,1544,1579.4
70,1563,1583.2
71,1579,1620.4
72,1617,1625.4
73,1207,1588.3
74,1595,1553.9
75,1855,1577.6
76,1589,1561.0
77,1571,1562.0
78,1720,1584.0
79,1579,1587.5
80,1768,1608.0
81,1552,1605.3
82,1536,1597.2
83,1521,1628.6
84,1251,1594.2
85,1537,1562.4
86,1522,1555.7
87,1602,1558.8
88,1543,1541.1
89,1556,1538.8
90,1409,1502.9
91,1539,1501.6
92,1603,1508.3
93,1542,1510.4
94,1546,1539.9
95,1134,1499.6
96,1513,1498.7
97,1501,1488.6
98,1500,1484.3
99,1745,1503.2
100,1734,1535.7
101,1942,1576.0
102,1724,1588.1
103,1951,1629.0
104,1726,1647.0
105,1735,1707.1
106,1597,1715.5
107,1743,1739.7
108,1721,1761.8
109,1746,1761.9
110,1744,1762.9
111,1749,1743.6
112,1769,1748.1
113,1795,1732.5
114,1729,1732.8
115,1795,1738.8
116,1770,1756.1
117,1783,1760.1
118,1884,1776.4
119,1756,1777.4
120,1724,1775.4
121,2036,1804.1
122,1706,1797.8
123,1244,1742.7
124,1215,1691.3
125,1350,1646.8
126,1210,1590.8
127,1139,1526.4
128,1220,1460.0
129,1234,1407.8
130,1275,1362.9
131,1433,1302.6
132,1132,1245.2
133,1276,1248.4
134,1228,1249.7
135,1273,1242.0
136,1338,1254.8
137,1263,1267.2
138,1316,1276.8
139,1248,1278.2
140,1335,1284.2
141,1223,1263.2
142,1443,1294.3
143,1227,1289.4
144,1215,1288.1
145,1227,1283.5
146,1550,1304.7
147,1325,1310.9
148,1212,1300.5
149,1226,1298.3
150,1228,1287.6
151,1191,1284.4
152,1422,1282.3
153,1186,1278.2
154,1212,1277.9
155,1228,1278.0
156,1865,1309.5
157,1852,1362.2
158,1833,1424.3
159,1851,1486.8
160,1861,1550.1
161,1853,1616.3
162,1910,1665.1
163,1851,1731.6
164,1860,1796.4
165,1828,1856.4
166,1855,1855.4
167,1847,1854.9
168,1885,1860.1
169,1847,1859.7
170,1847,1858.3
171,1840,1857.0
172,1848,1850.8
173,1860,1851.7
174,1854,1851.1
175,1895,1857.8
176,1866,1858.9
177,1866,1860.8
178,1835,1855.8
179,1877,1858.8
180,1849,1859.0
181,1835,1858.5
182,1866,1860.3
183,1856,1859.9
184,1845,1859.0
185,1834,1852.9
186,1846,1850.9
187,1845,1848.8
188,1858,1851.1
189,1871,1850.5
190,1846,1850.2
191,1843,1851.0
192,1800,1844.4
193,1283,1787.1
194,1290,1731.6
195,1331,1681.3
196,1304,1627.1
197,1305,1573.1
198,1308,1518.1
199,1296,1460.6
200,968,1372.8
201,1293,1317.8
202,1500,1287.8
203,1288,1288.3
204,1289,1288.2
205,1431,1298.2
206,1806,1348.4
207,1289,1346.8
208,1431,1359.1
209,1289,1358.4
210,1289,1390.5
211,1806,1441.8
212,1289,1420.7
213,1409,1432.8
214,1280,1431.9
215,1280,1416.8
216,1211,1357.3
217,1281,1356.5
218,1288,1342.2
219,1560,1369.3
220,1274,1367.8
221,1259,1313.1
222,1614,1345.6
223,1221,1326.8
224,1222,1321.0
225,1232,1316.2
226,1240,1319.1
227,1590,1350.0
228,1568,1378.0
229,1500,1372.0
230,1384,1383.0
231,1384,1395.5
232,1384,1372.5
233,1377,1388.1
234,1375,1403.4
235,1378,1418.0
236,1261,1420.1
237,1380,1399.1
238,1369,1379.2
239,1290,1358.2
240,1372,1357.0
241,1361,1354.7
242,1217,1338.0
243,1387,1339.0
244,1474,1348.9
245,1377,1348.8
246,1389,1361.6
247,1389,1362.5
248,1849,1410.5
249,1395,1421.0
250,1370,1420.8
251,1360,1420.7
252,1311,1430.1
253,1714,1462.8
254,1354,1450.8
255,1245,1437.6
256,1346,1433.3
257,1336,1428.0
258,1580,1401.1
259,1555,1417.1
260,1649,1445.0
261,1426,1451.6
262,1557,1476.2
263,1557,1460.5
264,1607,1485.8
265,1557,1517.0
266,1535,1535.9
267,1713,1573.6
268,1497,1565.3
